APOGEE_ID,LOGG,TEFF,MG_FE,FE_H,C_FE,N_FE,LOGG_ERR,TEFF_ERR,MG_FE_ERR,FE_H_ERR,C_FE_ERR,N_FE_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68U,distKpc_68L,distErrKpc,logDistKpc,logDistKpcErr,LOGG_NORM,LOGG_ERR_NORM,TEFF_NORM,TEFF_ERR_NORM,MG_FE_NORM,MG_FE_ERR_NORM,FE_H_NORM,FE_H_ERR_NORM,C_FE_NORM,C_FE_ERR_NORM,N_FE_NORM,N_FE_ERR_NORM
2M19071907+3843427,3.17079758644104,5008.78515625,0.04950600489974022,-0.06176700070500374,-0.12370499968528748,0.2817850112915039,0.02245855517685413,9.729696273803713,0.010676917620003223,0.006727609317749739,0.01379748433828354,0.01712200976908207,2.0278,2.4736,1.6406,0.4164999999999999,0.3070251187186725,0.08916338251163927,0.9379449,0.9509945,0.9257632,0.012615650000000016,-0.027822673698566138,0.005839046040763195,1.5168141711077316,0.06794062362008994,1.5363411391598074,0.05172312741060137,-0.49518524666697855,0.11465040026464553,0.11948839938978453,0.028019769038207687,-1.216930460964048,0.16567432286309802,0.46706424758871945,0.16590295115945924
2M19404408+4505405,3.182646036148072,4945.681640625,0.11740098893642426,-0.1926099956035614,-0.0128910094499588,0.13044999539852142,0.030665084719657894,13.885071754455565,0.015821445733308792,0.010124840773642065,0.02158985286951065,0.024944646283984184,6.687,8.493,5.3088,1.5921000000000003,0.8252313231999002,0.10203237987024943,1.0673456000000001,1.0826387,1.0510903,0.01577419999999995,0.02830506410193691,0.006421759554001665,1.552657574910335,0.09276665229843517,1.200882447862678,0.07381312995295418,0.23388164068858702,0.16989314244504525,-0.42545859800084956,0.04216887257076481,0.11367679655286589,0.25924176952644895,-0.9992896494722489,0.24170003930348644
2M18485612+4329190,2.705355405807495,4785.787109375,0.06608409434556961,-0.14806999266147616,-0.0595490038394928,0.205719992518425,0.02297939918935299,8.376843452453612,0.01108120009303093,0.00729137659072876,0.01279389951378107,0.015786977484822273,4.0507,5.1663,3.2734,0.9464499999999998,0.6075300799722547,0.09909027168976807,0.7121916,0.721939,0.7006805,0.010629249999999956,-0.14740315295207915,0.006490236170677441,0.1087791589566477,0.06951625779331724,0.3508821005374501,0.04453135318894549,-0.3171671464779784,0.11899164827294413,-0.23995427745333112,0.030367799078908096,-0.4465725530468972,0.15362370318790206,-0.26996436439355276,0.1529672152943974
2M19271026+4852047,2.6397018432617188,4576.177734375,0.04469601809978485,0.15300999581813812,0.006957009434700011,0.3009200096130371,0.01962060481309891,6.6125922203063965,0.009274228475987913,0.007009727880358696,0.009033185429871079,0.011451557278633121,6.9705,8.4104,6.0912,1.1595999999999995,0.8432639315345497,0.07005689596771453,1.3354596,1.3490817,1.3228178,0.01313194999999996,0.12563075438475418,0.004269110508023796,-0.08983308244157365,0.05935538222775391,-0.7634026730552925,0.0351525823931551,-0.5468356322473047,0.099588106301926,1.0140114837521328,0.029194762500571545,0.352003364517567,0.10846664817282718,0.6524719616823115,0.1109593542767073
2M19491234+4649437,1.7205710411071775,4331.13330078125,0.09605099260807036,-0.2375700026750565,-0.10729999840259552,0.2691200077533722,0.02319376729428768,6.209580898284912,0.011443127878010271,0.008300120010972023,0.010893790982663631,0.013236002065241335,1.8964,3.0537,1.2126,0.92055,0.27792994664691906,0.20055440259274754,2.4171502,2.5067201,2.3307727000000003,0.0879737,0.3833036379974041,0.015802960393453663,-2.8703467617529856,0.0701647546631662,-2.066060444002673,0.03301017163641284,0.004622062989068579,0.1228780850603777,-0.6127121905624413,0.03456910690150353,-1.0199461837986095,0.1308080082002432,0.34434725981925796,0.12824965256949267
2M19490441+4011101,2.7680253982543945,5005.9130859375,0.020829007029533383,-0.15365000069141388,-0.13796000182628632,0.31314998865127563,0.02333273179829121,9.90978717803955,0.011185991577804087,0.0068998876959085464,0.014750229194760324,0.01808584854006768,1.2844,1.3329,1.2342,0.049350000000000005,0.10870029689446488,0.01670601294108285,1.2439001,1.2574235,1.2331048,0.012159350000000018,0.09478550273349554,0.004240792163444807,0.29836563660757054,0.07058514390854323,1.5210731950713978,0.0526804918054551,-0.8031233053111557,0.12011691551777705,-0.26319441058913806,0.028737289949172448,-1.38809846298664,0.17711447782816808,0.7709737989330954,0.17524202400808966
2M19231527+4734184,2.520305156707764,4685.81298828125,0.3800029754638672,-0.5798299908638,0.06660598516464232,0.08461996912956238,0.03423124924302101,11.753430366516113,0.01823708042502404,0.011384016834199429,0.02306225337088108,0.02581547200679779,12.0927,15.6686,9.9243,2.8721499999999995,1.082523278874477,0.09916515484147947,1.3393421,1.3598289,1.3198964000000002,0.019966249999999942,0.12689152037735954,0.006472211261774302,-0.45102663557843015,0.1035548548226489,-0.1805809644522845,0.06248131074715276,3.0537425722046345,0.1958326030792122,-2.038188220326307,0.047413205398203526,1.0682428920461742,0.2769217284281584,-1.4433576480471306,0.25013786636402385
2M19112795+4336547,3.007073879241944,4863.37255859375,0.05327099934220314,-0.06795299798250197,-0.0910170003771782,0.24647000432014465,0.02231510542333126,8.724494934082031,0.010658956132829193,0.006993812508881092,0.012639721855521202,0.015729598701000214,4.347,5.4306,3.4506,0.99,0.638189640190837,0.09847659864846288,0.8109102,0.8231656999999999,0.799558,0.011803850000000013,-0.09102723679229748,0.006318646396623696,1.0215244839081064,0.0675066657970802,0.7633268431297414,0.04637947068128335,-0.45475615138072967,0.11445752702471411,0.09372438623147324,0.02912847669057613,-0.8244268698496887,0.15177240345046025,0.12488106023036545,0.152411246123815
2M19254315+4123529,2.583362102508545,4601.26611328125,0.09015199542045592,0.03882899880409242,0.02919600158929825,0.2242709994316101,0.02525121159851551,9.183961868286133,0.012692120857536793,0.00943225994706154,0.013279490172863008,0.016124408692121506,8.1123,9.8286,7.1614,1.3335999999999997,0.9091440028787396,0.06874686439050788,0.9664524,0.9761185,0.9561146,0.010001950000000022,-0.0148195311092122,0.004496296943906096,-0.2602695638279509,0.0763888437905426,-0.6300326908712431,0.048821999832247935,-0.05872228533229739,0.1362899657292111,0.5384599150180618,0.03928434793734448,0.6190397224533187,0.15945446926522408,-0.09021520904413734,0.1562367399506284
2M19440583+5106214,2.570931911468506,4752.58447265625,0.036779999732971184,-0.14949999749660492,-0.09947000443935394,0.2152100056409836,0.022937236353755,8.169208526611326,0.011073251254856586,0.007354512345045805,0.012549872510135174,0.015489362180233003,2.6372,3.3686,2.0654,0.6516,0.4211430670716649,0.10622263581384328,0.8374777,0.8501728999999999,0.8233603,0.013406299999999987,-0.07702674834590667,0.006958667283833014,-0.2978728256730169,0.06938870865573644,0.17437667210022287,0.0434275645996607,-0.6318390673732937,0.11890629241362571,-0.2459100937487444,0.030630752703362664,-0.9259269469524545,0.15069353073050942,-0.17801130486327096,0.1500834850543446
